Aug 28 14:40:29 hanreybtiz systemd[1]: Started exchanger-camunda-worker.service - Exchanger.py - Camunda Worker.
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | __main__:main:75 | ============================================================
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | __main__:main:76 | UNIVERSAL CAMUNDA WORKER (INTEGRATED MODE)
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | __main__:main:77 | ============================================================
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | __main__:main:78 | Версия: 2.1.0
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | __main__:main:79 | Автор: EG-Holding
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | __main__:main:80 | Режим: Интегрированная обработка задач и ответов
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | __main__:main:81 | ============================================================
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | __main__:run_worker:93 | Запуск Universal Camunda Worker...
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | __main__:main:106 | Universal Camunda Worker запущен
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:initialize:100 | Инициализация Universal Camunda Worker...
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | __main__:main:107 | - External Tasks: обработка задач из Camunda
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | __main__:main:108 | - Response Processing: встроенная обработка ответов из RabbitMQ
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | __main__:main:109 | - Heartbeat Interval: 10s
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | __main__:main:110 | Нажмите Ctrl+C для завершения
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | rabbitmq_client:connect:44 | Подключение к RabbitMQ успешно: rmq.eg-holding.ru:5672
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | bpmn_metadata_cache:__init__:52 | Инициализирован BPMN Metadata Cache (max_size=150, ttl=24h)
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:initialize:154 | Инициализация завершена успешно
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:start:659 | Запуск Universal Camunda Worker...
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:start:665 | Запуск обработки 27 топиков: ['bitrix24', 'bitrix_create_task', 'bitrix_update_task', 'bitrix_create_deal', 'bitrix_update_deal', 'bitrix_create_contact', 'openproject', 'op_create_project', 'op_create_task', 'op_update_task', 'op_create_milestone', '1c', '1c_create_document', '1c_update_document', '1c_create_counterparty', '1c_sync_data', 'python', 'send_email', 'send_telegram', 'telegram_notify', 'email_notify', 'create_yandex_file', 'yandex_disk', 'create_user', 'user_management', 'file_processing', 'data_processing']
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:_fetch_and_process_loop:163 | Запущен поток для топика: bitrix24
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:start:677 | Запущен поток для топика: bitrix24
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:_fetch_and_process_loop:163 | Запущен поток для топика: bitrix_create_task
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:start:677 | Запущен поток для топика: bitrix_create_task
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:_fetch_and_process_loop:163 | Запущен поток для топика: bitrix_update_task
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:start:677 | Запущен поток для топика: bitrix_update_task
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:_fetch_and_process_loop:163 | Запущен поток для топика: bitrix_create_deal
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:start:677 | Запущен поток для топика: bitrix_create_deal
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:_fetch_and_process_loop:163 | Запущен поток для топика: bitrix_update_deal
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:start:677 | Запущен поток для топика: bitrix_update_deal
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:_fetch_and_process_loop:163 | Запущен поток для топика: bitrix_create_contact
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:start:677 | Запущен поток для топика: bitrix_create_contact
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:_fetch_and_process_loop:163 | Запущен поток для топика: openproject
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:start:677 | Запущен поток для топика: openproject
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:_fetch_and_process_loop:163 | Запущен поток для топика: op_create_project
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:start:677 | Запущен поток для топика: op_create_project
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:_fetch_and_process_loop:163 | Запущен поток для топика: op_create_task
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:start:677 | Запущен поток для топика: op_create_task
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:_fetch_and_process_loop:163 | Запущен поток для топика: op_update_task
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:start:677 | Запущен поток для топика: op_update_task
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:_fetch_and_process_loop:163 | Запущен поток для топика: op_create_milestone
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:start:677 | Запущен поток для топика: op_create_milestone
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:_fetch_and_process_loop:163 | Запущен поток для топика: 1c
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:start:677 | Запущен поток для топика: 1c
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:_fetch_and_process_loop:163 | Запущен поток для топика: 1c_create_document
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:start:677 | Запущен поток для топика: 1c_create_document
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:_fetch_and_process_loop:163 | Запущен поток для топика: 1c_update_document
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:start:677 | Запущен поток для топика: 1c_update_document
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:_fetch_and_process_loop:163 | Запущен поток для топика: 1c_create_counterparty
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:start:677 | Запущен поток для топика: 1c_create_counterparty
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:_fetch_and_process_loop:163 | Запущен поток для топика: 1c_sync_data
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:start:677 | Запущен поток для топика: 1c_sync_data
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:_fetch_and_process_loop:163 | Запущен поток для топика: python
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:start:677 | Запущен поток для топика: python
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:_fetch_and_process_loop:163 | Запущен поток для топика: send_email
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:start:677 | Запущен поток для топика: send_email
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:_fetch_and_process_loop:163 | Запущен поток для топика: send_telegram
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:start:677 | Запущен поток для топика: send_telegram
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:_fetch_and_process_loop:163 | Запущен поток для топика: telegram_notify
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:start:677 | Запущен поток для топика: telegram_notify
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:_fetch_and_process_loop:163 | Запущен поток для топика: email_notify
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:start:677 | Запущен поток для топика: email_notify
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:_fetch_and_process_loop:163 | Запущен поток для топика: create_yandex_file
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:start:677 | Запущен поток для топика: create_yandex_file
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:_fetch_and_process_loop:163 | Запущен поток для топика: yandex_disk
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:start:677 | Запущен поток для топика: yandex_disk
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:_fetch_and_process_loop:163 | Запущен поток для топика: create_user
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:start:677 | Запущен поток для топика: create_user
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:_fetch_and_process_loop:163 | Запущен поток для топика: user_management
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:start:677 | Запущен поток для топика: user_management
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:_fetch_and_process_loop:163 | Запущен поток для топика: file_processing
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:start:677 | Запущен поток для топика: file_processing
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:_fetch_and_process_loop:163 | Запущен поток для топика: data_processing
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:start:677 | Запущен поток для топика: data_processing
Aug 28 14:40:31 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 14:40:31 | INFO     | camunda_worker:start:688 | Worker запущен и ожидает задачи...
Aug 28 18:02:14 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:02:14 | INFO     | camunda_worker:_check_response_queue:302 | Найдено 1 сообщений в очереди ответов, обрабатываем...
Aug 28 18:02:14 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:02:14 | INFO     | camunda_worker:_process_response_message:423 | Обрабатываем ответ для задачи 2a55ce5e-8403-11f0-a007-00b436387543 (статус: completed_by_tracker)
Aug 28 18:02:14 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:02:14 | INFO     | camunda_worker:_process_response_message:433 | Задача 2a55ce5e-8403-11f0-a007-00b436387543 завершена через tracker (автоматическое отслеживание)
Aug 28 18:02:14 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:02:14 | INFO     | camunda_worker:_extract_response_data:536 | Извлечены данные задачи Bitrix24: ID=None, Title=None
Aug 28 18:02:14 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:02:14 | WARNING  | camunda_worker:_convert_uf_result_answer:395 | Неизвестное значение ufResultAnswer_text: '479', используем 'no'
Aug 28 18:02:14 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:02:14 | INFO     | camunda_worker:_process_response_message:472 | Создана переменная процесса: Activity_hdrpane = 'no' (исходное: '479')
Aug 28 18:02:14 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:02:14 | INFO     | camunda_worker:_check_response_queue:315 | Обработано 1 ответов из очереди
Aug 28 18:08:40 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:08:40 | INFO     | camunda_worker:_fetch_and_process_loop:177 | Получено 7 задач для топика bitrix_create_task
Aug 28 18:08:40 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:08:40 | INFO     | bpmn_metadata_cache:_fetch_bpmn_xml:119 | Загрузка BPMN XML для процесса: 212fbf07-8368-11f0-a007-00b436387543
Aug 28 18:08:40 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:08:40 | INFO     | bpmn_metadata_cache:_fetch_bpmn_xml:131 | Успешно загружен BPMN XML для процесса: 212fbf07-8368-11f0-a007-00b436387543 (54164 символов)
Aug 28 18:08:40 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:08:40 | INFO     | bpmn_metadata_cache:_parse_bpmn_metadata:227 | Извлечены метаданные для 25 активностей
Aug 28 18:08:40 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:08:40 | INFO     | bpmn_metadata_cache:_save_to_cache:251 | Сохранен в кэш: 212fbf07-8368-11f0-a007-00b436387543 (25 активностей)
Aug 28 18:08:40 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:08:40 | INFO     | camunda_worker:_process_task:251 | Задача ff795872-8439-11f0-a007-00b436387543 отправлена в bitrix24, ожидает ответа
Aug 28 18:08:40 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:08:40 | INFO     | camunda_worker:_process_task:251 | Задача ff797e86-8439-11f0-a007-00b436387543 отправлена в bitrix24, ожидает ответа
Aug 28 18:08:40 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:08:40 | INFO     | camunda_worker:_process_task:251 | Задача ff797e8a-8439-11f0-a007-00b436387543 отправлена в bitrix24, ожидает ответа
Aug 28 18:08:40 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:08:40 | INFO     | camunda_worker:_process_task:251 | Задача ff797e8e-8439-11f0-a007-00b436387543 отправлена в bitrix24, ожидает ответа
Aug 28 18:08:40 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:08:40 | INFO     | camunda_worker:_process_task:251 | Задача ff797e92-8439-11f0-a007-00b436387543 отправлена в bitrix24, ожидает ответа
Aug 28 18:08:40 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:08:40 | INFO     | camunda_worker:_process_task:251 | Задача ff797e96-8439-11f0-a007-00b436387543 отправлена в bitrix24, ожидает ответа
Aug 28 18:08:40 hanreybtiz exchanger-camunda-worker[3406]: 2025-08-28 18:08:40 | INFO     | camunda_worker:_process_task:251 | Задача ff797e9a-8439-11f0-a007-00b436387543 отправлена в bitrix24, ожидает ответа
